"","features.fire_fly_id","fit.cluster"
"883",3297475,2
"884",3297691,3
"885",3298013,2
"886",3298402,3
"887",3298551,2
"888",3298759,3
"889",3298848,3
"890",3298992,2
"891",3299377,3
"892",3299628,2
"893",3299742,3
"894",3300770,2
"895",3301012,2
"896",3301105,3
"897",3302019,3
"898",3302022,2
"899",3302367,2
"900",3302749,3
"901",3302763,1
"902",3303320,3
"903",3304826,3
"904",3304924,2
"905",3306439,2
"906",3306726,2
"907",3308313,3
"908",3309625,3
"909",3309773,1
"910",3309910,3
"911",3311292,2
"912",3311797,2
"913",3312179,3
"914",3312404,2
"915",3312903,1
"916",3313072,1
"917",3313421,1
"918",3313772,3
"919",3313790,2
"920",3313970,1
"921",3314035,1
"922",3315392,3
"923",3315561,3
"924",3316603,1
"925",3316736,3
"926",3316805,1
"927",3317224,2
"928",3318538,2
"929",3323166,3
"930",3323446,3
"931",3323459,3
"932",3325014,2
"933",3325556,2
"934",3328127,1
"935",3328146,3
"936",3328219,2
"937",3328803,1
"938",3329218,2
"939",3329264,3
"940",3329887,1
"941",3331128,3
"942",3331198,1
"943",3331300,3
"944",3331479,2
"945",3333317,1
"946",3333366,3
"947",3333904,1
"948",3334204,2
"949",3334556,2
"950",3335158,2
"951",3335346,1
"952",3335467,2
"953",3335972,2
"954",3336140,3
"955",3337118,1
"956",3337217,2
"957",3338244,1
"958",3338596,2
"959",3339147,2
"960",3339208,3
"961",3340213,2
"962",3340247,2
"963",3340274,3
"964",3341058,3
"965",3341236,3
"966",3341372,2
"967",3341411,3
"968",3343195,1
"969",3343228,3
"970",3343397,3
"971",3343709,1
"972",3348251,2
"973",3349092,2
"974",3349583,1
"975",3350980,3
"976",3351147,3
"977",3351390,2
"978",3353724,2
"979",3353996,2
"980",3354792,3
"981",3354985,2
"982",3355019,2
"983",3356039,2
"984",3356331,2
"985",3356746,3
"986",3356769,1
"987",3356790,1
"988",3357089,2
"989",3357334,2
"990",3357343,1
"991",3357388,2
"992",3357527,2
"993",3358400,3
"994",3359325,2
"995",3368008,3
"996",3379130,3
"997",3380530,2
"998",3380615,3
"999",3380665,3
"1000",3381575,3
"1001",3381831,2
"1002",3382374,1
"1003",3384526,3
"1004",3384827,2
"1005",3384838,2
"1006",3386420,1
"1007",3387268,2
"1008",3389118,3
"1009",3389266,2
"1010",3390092,1
"1011",3390400,2
"1012",3390540,3
"1013",3390904,1
"1014",3391624,2
"1015",3392036,2
"1016",3393829,1
"1017",3396482,1
"1018",3397924,3
"1019",3398456,3
"1020",3399833,2
"1021",3399916,3
"1022",3400000,3
"1023",3400156,3
"1024",3400508,3
"1025",3402038,2
"1026",3402232,3
"1027",3402359,3
"1028",3402662,3
"1029",3402742,3
"1030",3403531,3
"1031",3403561,3
"1032",3403653,3
"1033",3403734,1
"1034",3404051,2
"1035",3404266,3
"1036",3404476,2
"1037",3404948,3
"1038",3407302,1
"1039",3407873,3
"1040",3412184,2
"1041",3412257,2
"1042",3413105,2
"1043",3414461,2
"1044",3415096,3
"1045",3415322,1
"1046",3418823,1
"1047",3418829,3
"1048",3419553,1
"1049",3422204,3
"1050",3422680,2
"1051",3422745,2
"1052",3422858,3
"1053",3422893,1
"1054",3422941,1
"1055",3423040,2
"1056",3423580,1
"1057",3423705,1
"1058",3424193,3
"1059",3424677,2
"1060",3426153,3
"1061",3427010,1
"1062",3427063,2
"1063",3427116,3
"1064",3427187,3
"1065",3428208,2
"1066",3428267,1
"1067",3428324,1
"1068",3428743,3
"1069",3428928,2
"1070",3431086,3
"1071",3431201,3
"1072",3431447,2
"1073",3431639,3
"1074",3432285,2
"1075",3433484,1
"1076",3433877,3
"1077",3434557,3
"1078",3434812,1
"1079",3434913,2
"1080",3435106,3
"1081",3435741,1
"1082",3435999,1
"1083",3440137,3
"1084",3441167,1
"1085",3443602,3
"1086",3444026,3
"1087",3445604,1
"1088",3447039,2
"1089",3449193,3
"1090",3449711,1
"1091",3449730,1
"1092",3449846,3
"1093",3449882,2
"1094",3450247,1
"1095",3451242,1
"1096",3451256,1
"1097",3451267,3
"1098",3451475,3
"1099",3452884,1
"1100",3455164,2
"1101",3456387,3
"1102",3457252,2
"1103",3460100,3
"1104",3460753,3
"1105",3460921,1
"1106",3462174,3
"1107",3462473,3
"1108",3463540,3
"1109",3463701,1
"1110",3463916,1
"1111",3464225,2
"1112",3465255,2
"1113",3465490,3
"1114",3466353,2
"1115",3467300,1
"1116",3467749,3
"1117",3468510,1
"1118",3471079,2
"1119",3472153,3
"1120",3472407,3
"1121",3472453,1
"1122",3472990,3
"1123",3475865,3
"1124",3475920,2
"1125",3478588,1
"1126",3478681,3
"1127",3478712,3
"1128",3481783,3
"1129",3485306,1
"1130",3485534,3
"1131",3486151,3
"1132",3486399,3
"1133",3487975,3
"1134",3489575,2
"1135",3490387,2
"1136",3492606,2
"1137",3492666,2
"1138",3493433,1
"1139",3493459,1
"1140",3493525,1
"1141",3496477,2
"1142",3497085,2
"1143",3497404,3
"1144",3497470,2
"1145",3498540,2
"1146",3498688,2
"1147",3500871,2
"1148",3500983,3
"1149",3501160,3
"1150",3502624,3
"1151",3503581,3
"1152",3503805,2
"1153",3503914,3
"1154",3504297,3
"1155",3513165,1
"1156",3513417,2
"1157",3513549,1
"1158",3516661,2
"1159",3517001,2
"1160",3517363,2
"1161",3517408,3
"1162",3518138,2
"1163",3519595,3
"1164",3520460,3
"1165",3521182,3
"1166",3522056,3
"1167",3522630,1
"1168",3522741,3
"1169",3523490,3
"1170",3526403,2
"1171",3527388,2
"1172",3527869,1
"1173",3528223,2
"1174",3528398,3
"1175",3529108,2
"1176",3529229,2
"1177",3530963,2
"1178",3531668,3
"1179",3532288,2
"1180",3533479,3
"1181",3534457,1
"1182",3534656,3
"1183",3534980,2
"1184",3535181,2
"1185",3536714,1
"1186",3537289,1
"1187",3537836,3
"1188",3538124,3
"1189",3538175,1
"1190",3538257,1
"1191",3538360,3
"1192",3538849,1
"1193",3539550,3
"1194",3539693,2
"1195",3540280,2
"1196",3540514,2
"1197",3685203,3
"1198",3689090,2
"1199",3690160,2
"1200",3703726,1
"1201",3705099,2
"1202",3708091,2
"1203",3708380,2
"1204",3708639,2
"1205",3709591,3
"1206",3710083,1
"1207",3711794,3
"1208",3711835,1
"1209",3712743,2
"1210",3713201,3
"1211",3714023,1
"1212",3717790,2
"1213",3719297,3
"1214",3719326,3
"1215",3719789,3
"1216",3722498,2
"1217",3722746,1
"1218",3724187,2
"1219",3724397,3
"1220",3725430,3
"1221",3727775,2
"1222",3727778,1
"1223",3729440,2
"1224",3730038,1
"1225",3730828,3
"1226",3731424,1
"1227",3731550,2
"1228",3731931,1
"1229",3733286,1
"1230",3735949,1
"1231",3737807,1
"1232",3739172,1
"1233",3739289,3
"1234",3743271,2
"1235",3744217,2
"1236",3744591,2
"1237",3745328,2
"1238",3745396,2
"1239",3747760,2
"1240",3747790,3
"1241",3747990,1
"1242",3750182,1
"1243",3750509,2
"1244",3751259,3
"1245",3752819,3
"1246",3757631,3
"1247",3930409,3
"1248",3930897,2
"1249",3930973,2
"1250",3932609,1
"1251",3933360,2
"1252",3936271,3
"1253",3936514,2
"1254",3938046,2
"1255",3938355,1
"1256",3942850,2
"1257",3952406,3
"1258",3953769,3
"1259",3953833,3
"1260",3954457,3
"1261",3954646,1
"1262",3956940,3
"1263",3957239,2
"1264",3957722,3
"1265",3965741,1
"1266",3968014,3
"1267",3969608,3
"1268",3969652,3
"1269",3972113,3
"1270",3972881,2
"1271",3972998,3
"1272",3973220,3
"1273",3973399,3
