"","features.fire_fly_id","FINALREF_FIT.cluster"
"1718",5121442,2
"1719",5126877,2
"1720",5128490,3
"1721",5129696,3
"1722",5134013,3
"1723",5141736,3
"1724",5141774,3
"1725",5141988,2
"1726",5142689,3
"1727",5144030,3
"1728",5144273,3
"1729",5145098,3
"1730",5146580,3
"1731",5150920,1
"1732",5151774,2
"1733",5155454,3
"1734",5157483,3
"1735",5158139,2
"1736",5161035,3
"1737",5163750,4
"1738",5164004,1
"1739",5166315,2
"1740",5166549,3
"1741",5171111,3
"1742",5171121,4
"1743",5173565,2
"1744",5174103,3
"1745",5174234,2
"1746",5174236,3
"1747",5175737,3
"1748",5176712,3
"1749",5176899,4
"1750",5179154,3
"1751",5181639,4
"1752",5182441,2
"1753",5183744,1
"1754",5184711,2
"1755",5185697,4
"1756",5185980,3
"1757",5186735,4
"1758",5189172,4
"1759",5191610,3
"1760",5191661,3
"1761",5192278,3
"1762",5193080,2
"1763",5193760,2
"1764",5194358,3
"1765",5194483,4
"1766",5194555,3
"1767",5194925,2
"1768",5195045,4
"1769",5195255,3
"1770",5195376,3
"1771",5195459,3
"1772",5195814,4
"1773",5195820,2
"1774",5195910,4
"1775",5196898,3
"1776",5198163,3
"1777",5199319,1
"1778",5200030,3
"1779",5202450,2
"1780",5208071,2
"1781",5208122,3
"1782",5212131,3
"1783",5222221,3
"1784",5224196,3
"1785",5224298,3
"1786",5224424,2
"1787",5224650,1
"1788",5224879,3
"1789",5226020,3
"1790",5228034,2
"1791",5228824,1
"1792",5229337,4
"1793",5230495,1
"1794",5233968,3
"1795",5233985,2
"1796",5234167,1
"1797",5234859,3
"1798",5235154,1
"1799",5237241,3
"1800",5238893,3
"1801",5242598,2
"1802",5252605,4
"1803",5252759,3
"1804",5253726,3
"1805",5255919,4
"1806",5256666,3
"1807",5258291,4
"1808",5260404,4
"1809",5261177,3
"1810",5261495,3
"1811",5261975,4
"1812",5262314,1
"1813",5262343,4
"1814",5262827,2
"1815",5263172,3
"1816",5263642,1
"1817",5265724,3
"1818",5266692,3
"1819",5267003,3
"1820",5269637,4
"1821",5270476,3
"1822",5276722,2
"1823",5278139,2
"1824",5278209,2
"1825",5278907,1
"1826",5279918,3
"1827",5286755,3
"1828",5289438,2
"1829",5291920,2
"1830",5293802,3
"1831",5293842,3
"1832",5301696,4
"1833",5302567,3
"1834",5303434,4
"1835",5305948,3
"1836",5306572,3
"1837",5307289,2
"1838",5308062,3
