"","fire_fly_id","home","sports","news","life","entertainment","tech","weather","opinion","travel","money","search","pct_home","pct_sports","pct_news","pct_life","pct_entertainment","pct_tech","pct_weather","pct_opinion","pct_travel","pct_money","pct_search","Other","gallery","homefront","section.front","story","sub.section","pct_Other","pct_homefront","pct_section.front","pct_story","pct_sub.section"
"1085",3443602,0,0,4,0,0,0,0,0,0,0,0,0,0,0.0347826086956522,0,0,0,0,0,0,0,0,115,0,0,0,0,0,1,0,0,0,0
"1086",3444026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,18,0,36,0.6,0,0.133333333333333,0,0.266666666666667
"1087",3445604,0,1,1,16,0,0,0,0,0,0,0,0,0.0555555555555556,0.0555555555555556,0.888888888888889,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0.444444444444444,0.555555555555556,0
"1088",3447039,4464,14,3986,10733,27,0,0,25,0,0,9,0.220946347257969,0.00069293209265492,0.197287665808751,0.531231439318947,0.00133636903583449,0,0,0.00123737873688379,0,0,0.000445456345278163,1192,0.688477529202138,4464,182,456,0,0.0589982181746189,0.220946347257969,0.00900811720451396,0.0225697881607602,0
"1089",3449193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,1,0,0,0,0
"1090",3449711,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"1091",3449730,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"1092",3449846,39,0,0,0,0,0,0,0,0,0,0,0.829787234042553,0,0,0,0,0,0,0,0,0,0,4,0,39,4,0,0,0.0851063829787234,0.829787234042553,0.0851063829787234,0,0
"1093",3449882,37,3939,1328,27,2969,0,0,2,0,2,0,0.00444551243541992,0.47326685089511,0.159557851736153,0.00324402258800913,0.356722335696263,0,0,0.000240297969482158,0,0.000240297969482158,0,523,0.811606391925988,37,164,844,0,0.0628379190195843,0.00444551243541992,0.0197044334975369,0.101405743121471,0
"1094",3450247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,1,0,0,0,0
"1095",3451242,0,0,4,1,0,0,0,0,0,0,32,0,0,0.0975609756097561,0.024390243902439,0,0,0,0,0,0,0.780487804878049,37,0,0,0,4,0,0.902439024390244,0,0,0.0975609756097561,0
"1096",3451256,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.0526315789473684,0.105263157894737,0,0,0,0,0,0,16,0,0,0,3,0,0.842105263157895,0,0,0.157894736842105,0
"1097",3451267,4,1,2,0,0,0,0,0,0,0,1,0.0120845921450151,0.00302114803625378,0.00604229607250755,0,0,0,0,0,0,0,0.00302114803625378,326,0,4,0,1,0,0.984894259818731,0.0120845921450151,0,0.00302114803625378,0
"1098",3451475,0,124,3,0,0,0,0,0,0,0,0,0,0.946564885496183,0.0229007633587786,0,0,0,0,0,0,0,0,4,0.755725190839695,0,0,28,0,0.0305343511450382,0,0,0.213740458015267,0
"1099",3452884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
"1100",3455164,12,13070,4340,5,26,0,0,10,0,10,0,0.00067961714900606,0.740216344792434,0.245794868890525,0.000283173812085858,0.00147250382284646,0,0,0.000566347624171717,0,0.000566347624171717,0,230,0.965622699212777,12,8,357,0,0.0130259953559495,0.00067961714900606,0.000453078099337373,0.0202186101829303,0
