fire_fly_id,referrer_type_value,percentbyref
3012151,Search Engines,1
3012376,Inside Your Site,1
3012376,Typed/Bookmarked,1
3016748,Inside Your Site,1
3016748,Typed/Bookmarked,1
3018651,Search Engines,1
3021451,Typed/Bookmarked,1
3028843,Inside Your Site,1
3028843,Typed/Bookmarked,1
3034002,Inside Your Site,0.32142857142857145
3034002,Social Networks,0.03571428571428571
3034002,Typed/Bookmarked,1
3035612,Typed/Bookmarked,1
3036403,Inside Your Site,1
3036403,Typed/Bookmarked,1
3064824,Inside Your Site,1
3064824,Typed/Bookmarked,1
3065097,Inside Your Site,1
3065097,Typed/Bookmarked,0.5
3067510,Typed/Bookmarked,1
3088933,Typed/Bookmarked,1
3090320,Inside Your Site,1
3090320,Typed/Bookmarked,1
3105488,Inside Your Site,1
3105488,Typed/Bookmarked,1
3112401,Search Engines,1
3145943,Typed/Bookmarked,1
3149644,Inside Your Site,0.5
3149644,Search Engines,0.5
3149644,Social Networks,0.5
3149644,Typed/Bookmarked,1
3150918,Social Networks,1
3151121,Inside Your Site,0.5
3151121,Search Engines,0.5
3151121,Social Networks,0.75
3151121,Typed/Bookmarked,0.75
3152213,Inside Your Site,0.5
3152213,Typed/Bookmarked,0.5
3152947,Inside Your Site,0.23076923076923078
3152947,Typed/Bookmarked,0.9230769230769231
3152986,Inside Your Site,0.7
3152986,Other Web Sites,0.1
3152986,Search Engines,0.2
3152986,Typed/Bookmarked,0.7
3153062,Social Networks,1
3153429,Typed/Bookmarked,1
3153597,Inside Your Site,0.5454545454545454
3153597,Search Engines,0.05454545454545454
3153597,Typed/Bookmarked,0.9454545454545454
3155230,Inside Your Site,0.46804123711340206
3155230,Other Web Sites,0.06804123711340206
3155230,Search Engines,0.15051546391752577
3155230,Typed/Bookmarked,0.9752577319587629
3155295,Inside Your Site,0.35714285714285715
3155295,Search Engines,0.10714285714285714
3155295,Social Networks,0.25
3155295,Typed/Bookmarked,0.39285714285714285
3155398,Inside Your Site,0.48413793103448277
3155398,Other Web Sites,0.02482758620689655
3155398,Search Engines,0.023448275862068966
3155398,Social Networks,0.02482758620689655
3155398,Typed/Bookmarked,1
3155555,Inside Your Site,0.3412969283276451
3155555,Other Web Sites,0.41638225255972694
3155555,Search Engines,0.17406143344709898
3155555,Social Networks,0.0034129692832764505
3155555,Typed/Bookmarked,0.9829351535836177
3155560,Inside Your Site,0.4
3155560,Search Engines,1
3155560,Typed/Bookmarked,0.4
3155581,Inside Your Site,0.1544943820224719
3155581,Search Engines,0.014044943820224719
3155581,Social Networks,0.9578651685393258
3155581,Typed/Bookmarked,0.5646067415730337
3155623,Inside Your Site,0.4646840148698885
3155623,Other Web Sites,0.0037174721189591076
3155623,Search Engines,0.022304832713754646
3155623,Social Networks,0.3271375464684015
3155623,Typed/Bookmarked,0.7806691449814126
3155705,Inside Your Site,0.3125
3155705,Typed/Bookmarked,1
3155718,Inside Your Site,0.24770642201834864
3155718,Other Web Sites,0.3577981651376147
3155718,Search Engines,0.10091743119266056
3155718,Social Networks,0.11009174311926606
3155718,Typed/Bookmarked,0.6146788990825688
3155731,Inside Your Site,0.33766233766233766
3155731,Search Engines,0.04220779220779221
3155731,Social Networks,0.003246753246753247
3155731,Typed/Bookmarked,0.961038961038961
3155777,Inside Your Site,0.5
3155777,Typed/Bookmarked,0.5
3155850,Typed/Bookmarked,1
3160086,Typed/Bookmarked,1
3160339,Inside Your Site,0.2222222222222222
3160339,Other Web Sites,1
3160339,Typed/Bookmarked,0.037037037037037035
3160445,Inside Your Site,0.2682926829268293
3160445,Search Engines,0.04878048780487805
3160445,Social Networks,0.7439024390243902
