,fire_fly_id,weekend_percentage,Browsers,percentageViewsPerCustomer
102,11332011,100,Safari,100
103,11357717,28.71287129,Chrome,95.37543093
104,11357717,28.71287129,Safari,4.624569074
105,11489254,100,Safari,100
106,11640484,100,Safari,100
107,11646505,23.07692308,Firefox,100
108,11835860,42.85714286,Chrome,99.80147091
109,11835860,42.85714286,Edge,0.115591903
110,11835860,42.85714286,Firefox,0.08293719
111,11863252,0,Chrome,100
112,11963296,0,Safari,100
113,12041734,25,Chrome,100
114,12251220,0,Safari,100
115,12254941,28,Firefox,100
116,12336806,0,Firefox,100
117,12341192,24.04809619,Chrome,17.72903112
118,12341192,24.04809619,Edge,2.940917883
119,12341192,24.04809619,Safari,79.33005099
120,12341311,25,Edge,100
121,12403950,0,Chrome,100
122,12426828,20,Safari,100
123,12436133,0,Safari,100
124,12454962,0,Chrome,100
125,12519624,0,Chrome,100
126,12530899,0,Chrome,100
127,12559755,19.04761905,Firefox,100
128,12561535,33.33333333,Chrome,100
129,12562434,34.375,Chrome,25.82700319
130,12562434,34.375,Edge,61.28399902
131,12562434,34.375,Firefox,0.024503798
132,12562434,34.375,Safari,12.864494
133,12587066,14,Edge,0.155595895
134,12587066,14,Safari,99.8444041
135,12613828,0,Chrome,92.2395066
136,12613828,0,Edge,7.760493396
137,12614347,0,Chrome,100
138,12615185,0,Chrome,100
139,12673812,0,Safari,100
140,12676491,0,Safari,100
141,12693163,0,Chrome,100
142,12720504,0,Safari,100
143,12720793,0,Edge,100
144,12721213,0,Edge,100
145,12743425,0,Firefox,100
146,12771176,0,Safari,100
147,12819009,0,Chrome,100
148,12819977,0,Edge,100
149,12822935,0,Safari,100
150,12845197,0,Safari,100
151,12847983,0,Chrome,100
152,12848096,0,Chrome,100
153,12876914,0,Safari,100
154,12900924,0,Chrome,100
155,12926170,0,Chrome,5.00494927
156,12926170,0,Edge,94.99505073
157,12951350,0,Chrome,100
158,12951424,0,Chrome,18.97435897
159,12951424,0,Edge,39.48717949
160,12951424,0,Firefox,41.53846154
161,13003286,0,Safari,100
162,13054676,0,Chrome,92.88564443
163,13054676,0,Edge,7.114355568
164,13055324,0,Chrome,68.81188119
165,13055324,0,Safari,31.18811881
166,13065734,0,Chrome,100
167,13137865,0,Chrome,100
168,13140322,0,Safari,100
169,13183894,0,Edge,86.33040936
170,13183894,0,Safari,13.66959064
171,13230015,0,Edge,100
172,13230091,0,Chrome,100
173,13232935,0,Chrome,100
174,13258779,0,Firefox,100
175,13283457,0,Edge,100
176,13285094,0,Edge,100
177,13310207,0,Safari,100
178,13310765,0,Chrome,100
179,13334717,0,Safari,100
180,13361987,0,Firefox,100
181,13362075,0,Chrome,100
182,13362767,0,Chrome,99.73177698
183,13362767,0,Safari,0.268223022
184,13391101,0,Chrome,91.46878858
185,13391101,0,Edge,7.825608954
186,13391101,0,Safari,0.705602466
187,13391610,0,Firefox,100
188,13449034,0,Chrome,58.37903028
189,13449034,0,Safari,41.62096972
190,13450042,0,Chrome,100
191,13473787,0,Edge,100
192,13476025,0,Edge,100
193,13492441,0,Safari,100
194,13497860,0,Safari,100
195,13530479,0,Safari,100
196,13584977,0,Chrome,53.21100917
197,13584977,0,Edge,46.78899083
198,13598871,0,Chrome,100
199,13607848,0,Chrome,100
200,13614487,0,Firefox,100
201,13616389,0,Edge,100
202,13709355,0,Firefox,100
203,13745996,0,Chrome,100
204,13809403,0,Chrome,100
205,13820502,0,Chrome,94.48621554
206,13820502,0,Edge,4.511278195
207,13820502,0,Safari,1.002506266
208,13832157,0,Chrome,100
209,13832300,0,Edge,100
210,13832864,0,Chrome,28.81355932
211,13832864,0,Edge,16.38418079
212,13832864,0,Safari,54.80225989
213,13863451,0,Chrome,100
214,13907272,0,Edge,100
215,13911237,0,Edge,100
216,13995218,0,Chrome,100
217,14017222,0,Chrome,94.41747573
218,14017222,0,Safari,5.582524272
219,14049704,0,Edge,6.068268015
220,14049704,0,Safari,93.93173198
221,14088054,0,Chrome,100
222,14160206,0,Edge,100
223,14313992,0,Safari,100
224,14314032,0,Chrome,100
225,14492648,0,Chrome,41.45454545
226,14492648,0,Safari,58.54545455
227,14500404,0,Chrome,7.608695652
228,14500404,0,Edge,92.39130435
229,14502772,0,Chrome,100
230,14503800,0,Chrome,86.58466819
231,14503800,0,Safari,13.41533181
232,14503814,0,Chrome,0.405953992
233,14503814,0,Edge,98.91745602
234,14503814,0,Safari,0.676589986
235,14517394,0,Edge,100
236,14523479,0,Chrome,20.07921913
237,14523479,0,Edge,79.92078087
238,14523821,0,Chrome,100
239,14524755,0,Firefox,100
240,14539058,0,Firefox,99.99487232
241,14539058,0,Safari,0.005127679
242,14544277,0,Safari,100
243,14546781,0,Safari,100
244,14558284,0,Safari,100
245,14559402,0,Firefox,100
246,14560497,0,Firefox,100
247,14562492,0,Chrome,9.210526316
248,14562492,0,Edge,90.78947368
249,14568409,0,Chrome,0.14186719
250,14568409,0,Edge,99.85813281
251,14569315,0,Chrome,100
252,14572187,0,Firefox,100
253,14575707,0,Chrome,100
254,14585548,0,Safari,100
255,14585595,0,Chrome,100
256,14591488,0,Safari,100
257,14595555,0,Chrome,100
258,14596530,0,Firefox,91.93548387
259,14596530,0,Safari,8.064516129
260,14599210,0,Chrome,100
261,14599221,0,Chrome,100
262,14600175,0,Edge,100
263,14602125,0,Chrome,42.14671467
264,14602125,0,Safari,57.85328533
